,XGBoost,LightGBM,CatBoost,SVR,KNN,ElasticNet,LSTM,Prophet,SARIMAX,TFT
2025-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6270499001996013,0.0,0.3729500998003994
2025-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6107385229540924,0.0,0.3892614770459086
2025-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6015968063872256,0.0,0.39840319361277504
2025-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5971417165668668,0.0,0.40285828343313407
2025-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5664031936127745,0.0,0.4335968063872255
2025-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5586267465069854,0.0,0.441373253493014
2025-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.593413173652694,0.0,0.40658682634730553
2025-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.582610778443114,0.0,0.4173892215568864
2025-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6178443113772449,0.0,0.3821556886227545
2025-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6239041916167668,0.0,0.3760958083832338
2025-04-07,0.0,0.0,0.0,0.06150099800399206,0.0,0.0,0.0,0.5218602794411173,0.14512574850299406,0.27151297405189606
2025-04-08,0.0,0.0,0.0,0.11762075848303398,0.0,0.0,0.0,0.49872255489021966,0.19202395209580844,0.19163273453093832
2025-04-09,0.0,0.005133732534930142,0.0,0.3357684630738522,0.0,0.0,0.053029940119760505,0.3742514970059879,0.016487025948103803,0.2153293413173653
2025-04-10,0.08011177644710579,0.0,0.0,0.30397604790419164,0.0,0.0,0.12996407185628758,0.32700199600798424,0.0,0.15894610778443127
2025-04-11,0.07196806387225554,0.0,0.0,0.3073772455089818,0.0,0.0,0.15859481037924164,0.3251656686626745,0.0,0.1368942115768464
2025-04-12,0.05572055888223553,0.026890219560878233,0.0,0.39275848303393196,0.0,0.0,0.09039520958083835,0.25957684630738503,6.387225548902212e-05,0.17459481037924157
2025-04-13,0.14316966067864276,8.782435129740529e-05,4.79041916167665e-05,0.45772455089820363,0.0,0.0,0.023952095808383225,0.19844311377245522,0.0,0.17657485029940134
2025-04-14,0.16225948103792412,0.0,0.0,0.44362475049900224,0.0,0.0,1.596806387225553e-05,0.2429141716566867,0.0,0.15118562874251493
2025-04-15,0.1507465069860278,0.0,0.0,0.4642315369261476,0.0,0.0,0.0,0.23494610778443112,0.0,0.1500758483033934
2025-04-16,0.0010938123752495018,0.0,0.06401596806387228,0.40666666666666684,0.06898203592814374,0.0,0.0,0.2630738522954091,0.0008782435129740526,0.1952894211576848
2025-04-17,0.0,0.0,0.06362475049900197,0.36034331337325376,0.06153293413173653,0.0,0.0,0.3188742514970062,0.00016766467065868287,0.19545708582834337
2025-04-18,0.025812375249501016,0.0,0.07121756487025953,0.3367105788423154,0.07042714570858286,0.0,0.0,0.3240079840319359,5.5888223552894286e-05,0.17176846307385232
2025-04-19,0.06982035928143718,0.0,0.05978443113772456,0.3161996007984032,0.04671457085828343,0.0,0.0,0.32020758483033923,0.02031936127744512,0.1669540918163672
2025-04-20,0.0,0.0,0.11046706586826353,0.29304590818363263,0.0,1.596806387225553e-05,0.03885828343313372,0.21756487025948115,0.2115209580838326,0.1285269461077846
2025-04-21,0.0,0.0,0.18599600798403204,0.19062674650698597,0.0,1.596806387225553e-05,0.13596806387225557,0.05938522954091819,0.40856686626746525,0.019441117764471053
2025-04-22,0.0,0.0,0.16915768463073863,0.13985628742514958,0.0,0.0,0.17626347305389226,0.10491017964071858,0.38106187624750504,0.028750499001996006
2025-04-23,0.0,0.0,0.12204391217564872,0.14607584830339324,0.0,0.0,0.24884630738522961,0.13709381237524948,0.2510259481037928,0.09491417165668666
2025-04-24,0.0,0.0,0.03393213572854292,0.12582834331337325,0.0,3.992015968063883e-05,0.3319600798403196,0.22044710578842341,0.22066267465069875,0.06712974051896217
2025-04-25,0.0,0.0,0.0,0.2445828343313372,0.0,0.008806387225548896,0.22325748502994017,0.16114970059880251,0.2602315369261475,0.10197205588822354
2025-04-26,0.0,0.0,0.0,0.2537644710578845,0.0,0.014187624750499006,0.2262514970059881,0.11789221556886237,0.23183233532934142,0.15607185628742526
2025-04-27,0.009429141716566869,0.0,0.0,0.13145708582834337,0.0,3.193612774451106e-05,0.3746107784431141,0.1828023952095809,0.1707704590818365,0.1308982035928143
2025-04-28,0.0,0.0,0.0,0.3350738522954094,0.016542914171656695,0.0,0.24390419161676657,0.0,0.18686626746506993,0.21761277445109808
2025-04-29,0.0,0.0,0.0,0.26131736526946125,0.0,0.0,0.3229700598802394,0.05797205588822358,0.19486626746506977,0.1628742514970059
2025-04-30,0.0,0.0,0.0,0.15072255489021982,0.05309381237524952,0.0,0.3915049900199601,0.06165269461077846,0.33528942115768484,0.007736526946107792
2025-05-01,0.0,0.0,0.0,0.14741716566866273,0.05384431137724551,3.193612774451106e-05,0.4060518962075848,0.03777245508982038,0.353996007984032,0.0008862275449101797
2025-05-02,0.0,0.0,0.0,0.1669540918163673,0.04111776447105789,0.0,0.330491017964072,0.00011177644710578857,0.43351696606786433,0.02780838323353296
2025-05-03,0.0,0.0,0.0,0.07189620758483033,0.11465868263473057,3.193612774451106e-05,0.24600399201596826,0.005053892215568865,0.5620998003992016,0.0002554890219560885
2025-05-04,0.0,0.0,0.0,0.16647504990019965,0.02437524950099802,0.0,0.16850299401197616,0.007033932135728542,0.6335888223552896,2.395209580838325e-05
2025-05-05,0.0,0.0,0.0,0.10660279441117769,0.0,0.042738522954091834,0.23121756487025955,0.08221157684630746,0.5372055888223557,2.395209580838325e-05
2025-05-06,0.0,0.0,0.0,0.12883033932135726,3.992015968063883e-05,0.0045189620758483064,0.23626347305389228,0.10516566866267472,0.5251576846307386,2.395209580838325e-05
2025-05-07,0.0,0.06324151696606789,0.0,0.13350099800399198,0.0,0.02480638722554892,0.1826986027944113,0.010754491017964078,0.5849101796407187,8.782435129740531e-05
2025-05-08,0.0005429141716566873,0.06289820359281438,0.0,0.13069860279441137,0.0,0.014355289421157684,0.19000399201596815,0.014251497005988035,0.5869381237524949,0.0003113772455089823
2025-05-09,0.0,0.04102994011976049,0.0,0.04582035928143718,0.02954091816367267,0.09248702594810387,0.23095409181636734,0.036974051896207616,0.5231696606786428,2.395209580838325e-05
2025-05-10,0.0009580838323353311,1.596806387225553e-05,0.0,0.11645508982035938,3.193612774451106e-05,0.1733253493013974,0.11191217564870268,0.0,0.4722714570858284,0.12502994011976046
2025-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.44442315369261476,0.15609580838323367,0.399481037924152,0.0
2025-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.43141716566866256,0.21673453093812384,0.31869061876247523,0.033157684630738544
2025-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.4180998003992017,0.245429141716567,0.2848463073852296,0.051624750499002
2025-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.38040718562874243,0.3381237524950102,0.1926946107784433,0.0887744510978044
2025-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.39587225548902194,0.3437125748502995,0.18305788423153718,0.07735728542914176
2025-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.38064670658682626,0.34096606786427186,0.19025149700598804,0.08813572854291431
2025-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.3717524950099803,0.3021477045908185,0.23578443113772476,0.09031536926147708
2025-05-18,0.06896606786427151,0.00012774451097804425,0.0,0.0,0.0,0.0,0.2130778443113774,0.23928143712574867,0.35165668662674693,0.12689021956087834
2025-05-19,0.0,1.596806387225553e-05,0.040447105788423185,0.0,0.0,0.0,0.28985229540918156,0.1964550898203594,0.3368622754491016,0.13636726546906203
2025-05-20,0.0,0.0,0.0,0.1790259481037925,0.0,0.0,0.23196007984031952,0.11506586826347316,0.09694211576846312,0.3770059880239522
2025-05-21,0.0,0.026698602794411185,0.0,0.26511776447105767,3.193612774451106e-05,0.0,0.25990419161676653,0.01916167664670658,0.11954491017964078,0.3095409181636724
2025-05-22,0.0,0.04303393213572855,0.0,0.2894451097804391,0.0,0.0,0.23962475049900214,0.003536926147704593,0.12019960079840324,0.3041596806387226
2025-05-23,0.0,0.0003752495009980047,0.0,0.16696207584830347,0.06901397205588825,0.0,0.3733652694610781,0.08338522954091815,0.14087025948103796,0.1660279441117764
2025-05-24,0.0,0.017309381237524964,0.0,0.19945708582834348,0.06008782435129742,0.0,0.4226027944111775,0.0937804391217566,0.20269061876247504,0.004071856287425152
2025-05-25,0.0,0.0,0.0,0.11568063872255491,0.19641516966067862,0.0,0.39559281437125754,0.12543712574850305,0.16685029940119778,2.395209580838325e-05
2025-05-26,0.0,0.0,0.0,0.17486626746506992,0.3685508982035931,0.0,0.06859081836327362,0.13247904191616772,0.2554331337325349,7.984031936127767e-05
2025-05-27,0.0,0.0,0.0,0.12146906187624747,0.28743313373253493,0.0,0.12041516966067867,0.12883832335329334,0.3418443113772455,0.0
2025-05-28,0.0,0.0,0.0,0.1301636726546907,0.19638323353293421,0.0,0.11837924151696608,0.16891816367265472,0.38615568862275473,0.0
2025-05-29,0.0,0.0,0.0,0.08510179640718564,0.11957684630738519,0.0,0.17640718562874255,0.23135329341317373,0.3875608782435129,0.0
2025-05-30,0.0,0.0,0.0,0.13811576846307386,0.1188343313373254,0.0,0.13845908183632752,0.19540918163672674,0.40918163672654756,0.0
2025-05-31,0.0,0.0,0.0,0.08850299401197607,0.1803193612774451,0.0,0.03715768463073856,0.11812375249501003,0.46843113772455097,0.10746506986027951
2025-06-01,0.0,0.0,0.0,0.1413972055888224,0.14460678642714578,0.0,0.030035928143712556,0.10441516966067876,0.45888223552894225,0.12066267465069855
2025-06-02,0.0,0.0,0.0,0.17720558882235526,0.0647744510978044,0.0,0.10466267465069862,0.0347944111776447,0.19861876247504975,0.41994411177644697
2025-06-03,0.0,1.596806387225553e-05,0.0,0.22875848303393215,0.043265469061876255,0.0,0.11672654690618768,0.033261477045908164,0.21524950099800408,0.3627225548902194
2025-06-04,0.0,1.596806387225553e-05,0.0,0.21978443113772467,0.030730538922155708,0.0,0.1908023952095807,0.0562554890219561,0.14687425149700617,0.3555369261477049
2025-06-05,0.0,1.596806387225553e-05,0.0,0.21017165668662682,0.020606786427145724,0.0,0.23677445109780443,0.037628742514970094,0.19637524950099805,0.2984271457085831
2025-06-06,0.0,0.0,0.0,0.21960878243512968,0.00046307385229540964,0.0,0.2221237524950101,0.028598802395209583,0.22673852295409183,0.30246706586826333
2025-06-07,0.0,0.0,0.0,0.2445109780439123,3.193612774451106e-05,0.0,0.22965269461077867,0.06281037924151703,0.23012375249501008,0.23287025948103812
2025-06-08,0.0,0.04387225548902197,0.0,0.19253493013972053,0.03468263473053895,0.0,0.12193213572854292,0.034570858283433155,0.2926467065868262,0.27976047904191637
2025-06-09,0.0,0.04097405189620758,0.0,0.19164870259481057,0.0007824351297405192,0.0,0.13203193612774453,0.0809101796407186,0.27982435129740507,0.27382834331337325
2025-06-10,0.0,0.01695808383233532,0.0,0.16188423153692608,0.0002634730538922161,0.0,0.18328942115768476,0.1426107784431138,0.2501636726546908,0.24483033932135737
2025-06-11,0.0,0.0,0.0,0.34895808383233556,0.10196407185628743,0.0,0.0,0.018762475049900206,0.4333892215568863,0.09692614770459083
2025-06-12,0.0,0.0,0.0,0.31522554890219584,0.1857724550898204,0.0,0.0,0.0,0.4990019960079839,0.0
2025-06-13,0.0,0.0,0.0,0.2875129740518962,0.21028343313373257,0.0,0.0,0.00241117764471058,0.4997924151696607,0.0
2025-06-14,0.0,0.0,0.0,0.29595209580838344,0.19764471057884236,0.0,0.0,0.0,0.5064031936127752,0.0
2025-06-15,0.0,0.0,0.0,0.3328063872255493,0.21837125748503003,0.0,0.0,0.0,0.44882235528942116,0.0
2025-06-16,0.0,0.0,0.0,0.3383233532934133,0.19481836327345323,0.0,0.007656686626746516,0.0,0.3750419161676648,0.0841596806387225
2025-06-17,0.0,0.0,0.0,0.2550259481037928,0.1401916167664671,0.0,0.0,0.0,0.19843512974051902,0.4063473053892217
2025-06-18,0.0,0.0,0.0,0.26529341317365257,0.1622914171656688,0.0,0.0,0.0,0.21069061876247505,0.36172455089820366
2025-06-19,0.0,0.0,0.0,0.22954091816367272,0.21784431137724553,0.0,0.0,0.0,0.1850219560878246,0.367592814371258
2025-06-20,0.0,0.0,0.0,0.17060279441117762,0.21466666666666687,0.0,0.0,0.0,0.15374850299401208,0.46098203592814396
2025-06-21,0.0,0.0,0.0,0.10795209580838333,0.19335728542914177,0.0,0.0,0.006491017964071861,0.12205189620758486,0.5701477045908191
2025-06-22,0.0,0.0,0.0,0.08388023952095816,0.17913772455089816,0.0,0.0,0.007904191616766474,0.11597604790419157,0.6131017964071858
